classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.937,0.934,0.934,0.934,0.927,0.927,0.926,0.926
SVM,0.945,0.942,0.942,0.942,0.96,0.959,0.959,0.959
RF,0.956,0.954,0.954,0.954,0.965,0.964,0.963,0.963
ETC,0.957,0.955,0.955,0.955,0.961,0.959,0.958,0.959
XGB,0.951,0.948,0.948,0.948,0.956,0.954,0.954,0.954
ENS-1,0.958,0.955,0.955,0.955,0.961,0.959,0.958,0.959
LogR,0.933,0.931,0.931,0.931,0.941,0.941,0.94,0.94
SVM,0.943,0.94,0.94,0.94,0.969,0.968,0.968,0.968
RF,0.954,0.951,0.951,0.952,0.96,0.959,0.959,0.959
ETC,0.957,0.954,0.954,0.954,0.96,0.959,0.959,0.959
XGB,0.953,0.949,0.949,0.949,0.96,0.959,0.959,0.959
ENS-1,0.957,0.954,0.954,0.954,0.96,0.959,0.959,0.959
LogR,0.933,0.931,0.931,0.931,0.941,0.941,0.94,0.94
SVM,0.943,0.94,0.94,0.94,0.969,0.968,0.968,0.968
RF,0.954,0.951,0.951,0.952,0.96,0.959,0.959,0.959
ETC,0.957,0.954,0.954,0.954,0.965,0.964,0.963,0.963
XGB,0.953,0.949,0.949,0.949,0.96,0.959,0.959,0.959
ENS-1,0.957,0.954,0.954,0.954,0.96,0.959,0.959,0.959
