classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,1.0,1.0,1.0,1.0,0.714,0.667,0.55,0.556
SVM,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
RF,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
ETC,1.0,1.0,1.0,1.0,0.714,0.667,0.55,0.556
XGB,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
ENS-1,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
LogR,1.0,1.0,1.0,1.0,0.8,0.833,0.775,0.778
SVM,1.0,1.0,1.0,1.0,0.8,0.833,0.775,0.778
RF,1.0,1.0,1.0,1.0,0.875,0.917,0.883,0.889
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,0.975,0.969,0.971,0.971,0.8,0.833,0.775,0.778
ENS-1,1.0,1.0,1.0,1.0,0.875,0.917,0.883,0.889
LogR,1.0,1.0,1.0,1.0,0.8,0.833,0.775,0.778
SVM,1.0,1.0,1.0,1.0,0.8,0.833,0.775,0.778
RF,1.0,1.0,1.0,1.0,0.875,0.917,0.883,0.889
ETC,1.0,1.0,1.0,1.0,0.875,0.917,0.883,0.889
XGB,0.975,0.969,0.971,0.971,0.8,0.833,0.775,0.778
ENS-1,1.0,1.0,1.0,1.0,0.875,0.917,0.883,0.889
