classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.993,0.993,0.993,0.993,0.92,0.92,0.919,0.919
SVM,0.974,0.972,0.972,0.972,0.874,0.867,0.864,0.865
RF,0.993,0.993,0.993,0.993,0.838,0.838,0.838,0.838
ETC,1.0,1.0,1.0,1.0,0.946,0.946,0.946,0.946
XGB,1.0,1.0,1.0,1.0,0.92,0.92,0.919,0.919
ENS-1,1.0,1.0,1.0,1.0,0.896,0.893,0.892,0.892
LogR,0.993,0.993,0.993,0.993,0.921,0.918,0.919,0.919
SVM,0.98,0.979,0.979,0.979,0.811,0.811,0.811,0.811
RF,1.0,1.0,1.0,1.0,0.865,0.865,0.865,0.865
ETC,1.0,1.0,1.0,1.0,0.897,0.89,0.891,0.892
XGB,1.0,1.0,1.0,1.0,0.892,0.892,0.892,0.892
ENS-1,1.0,1.0,1.0,1.0,0.892,0.892,0.892,0.892
LogR,0.993,0.993,0.993,0.993,0.921,0.918,0.919,0.919
SVM,0.98,0.979,0.979,0.979,0.811,0.811,0.811,0.811
RF,1.0,1.0,1.0,1.0,0.865,0.865,0.865,0.865
ETC,1.0,1.0,1.0,1.0,0.897,0.89,0.891,0.892
XGB,1.0,1.0,1.0,1.0,0.892,0.892,0.892,0.892
ENS-1,1.0,1.0,1.0,1.0,0.892,0.892,0.892,0.892
