classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.986,0.986,0.986,0.986,0.889,0.886,0.886,0.887
SVM,0.981,0.981,0.981,0.981,0.869,0.847,0.846,0.849
RF,0.995,0.995,0.995,0.995,0.887,0.887,0.887,0.887
ETC,1.0,1.0,1.0,1.0,0.889,0.886,0.886,0.887
XGB,0.991,0.991,0.991,0.991,0.912,0.905,0.905,0.906
LogR,0.986,0.986,0.986,0.986,0.849,0.849,0.849,0.849
SVM,0.981,0.981,0.981,0.981,0.882,0.866,0.866,0.868
RF,1.0,1.0,1.0,1.0,0.887,0.887,0.887,0.887
ETC,1.0,1.0,1.0,1.0,0.889,0.886,0.886,0.887
XGB,0.991,0.991,0.991,0.991,0.906,0.905,0.906,0.906
LogR,0.986,0.986,0.986,0.986,0.849,0.849,0.849,0.849
SVM,0.981,0.981,0.981,0.981,0.882,0.866,0.866,0.868
RF,1.0,1.0,1.0,1.0,0.887,0.887,0.887,0.887
ETC,1.0,1.0,1.0,1.0,0.906,0.905,0.906,0.906
XGB,0.991,0.991,0.991,0.991,0.906,0.905,0.906,0.906
