classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.963,0.961,0.961,0.961,0.94,0.934,0.935,0.935
SVM,0.971,0.97,0.97,0.97,0.957,0.954,0.955,0.955
RF,0.988,0.988,0.987,0.987,0.951,0.949,0.95,0.95
ETC,0.989,0.989,0.989,0.989,0.96,0.96,0.96,0.96
XGB,0.98,0.98,0.98,0.98,0.945,0.945,0.945,0.945
LogR,0.963,0.961,0.961,0.961,0.942,0.939,0.94,0.94
SVM,0.972,0.971,0.971,0.971,0.952,0.949,0.95,0.95
RF,0.989,0.989,0.989,0.989,0.948,0.944,0.945,0.945
ETC,0.989,0.989,0.989,0.989,0.951,0.949,0.95,0.95
XGB,0.982,0.982,0.982,0.982,0.93,0.93,0.93,0.93
LogR,0.963,0.961,0.961,0.961,0.942,0.939,0.94,0.94
SVM,0.972,0.971,0.971,0.971,0.952,0.949,0.95,0.95
RF,0.989,0.989,0.989,0.989,0.948,0.944,0.945,0.945
ETC,0.989,0.989,0.989,0.989,0.947,0.944,0.945,0.945
XGB,0.982,0.982,0.982,0.982,0.93,0.93,0.93,0.93
